Date,USB_CMSV,BB_CMSV
2015-12-01,0.15665629761153585,0.1691876493308175
2016-01-01,0.12557171110847382,0.14698489805981538
2016-02-01,0.20738570708477808,0.18510556629999345
2016-03-01,0.23491129966302007,0.19895717169981447
2016-04-01,0.22726763717032247,0.21691437821623435
2016-05-01,0.217436222830894,0.22662701103863192
2016-06-01,0.20007284672971534,0.22054379410046077
2016-07-01,0.2655976571263493,0.24632870497337886
2016-08-01,0.26949467596317306,0.2551029342050169
2016-09-01,0.24409950382954193,0.2460498530914969
2016-10-01,0.23641969284296555,0.24505716488954868
2016-11-01,0.20782668703325777,0.2217401620043745
2016-12-01,0.1567916130100975,0.19599911388951902
2017-01-01,0.15443653392019202,0.19099432177887457
2017-02-01,0.15277564274886238,0.1977258047392295
2017-03-01,0.1636823082809508,0.20146313628681187
2017-04-01,0.1609718348586597,0.19789614902247568
2017-05-01,0.1873500578627719,0.2134301465131516
2017-06-01,0.2081725030851466,0.22536096046024778
2017-07-01,0.19080574493823912,0.22591802468959593
2017-08-01,0.1977478639958901,0.23586092448333007
2017-09-01,0.22881302582232374,0.252979094220464
2017-10-01,0.19184011397858863,0.24053525464934
2017-11-01,0.18329887468166192,0.23486654431678056
2017-12-01,0.16581830297536893,0.22425741195968868
2018-01-01,0.15474431117949575,0.2252438997760091
2018-02-01,0.1275977772001363,0.20406012858828113
2018-03-01,0.10356372644327394,0.1884149051337639
2018-04-01,0.12232985584235448,0.19622530082854478
2018-05-01,0.09684206247710071,0.17922625398305406
2018-06-01,0.11494633862728211,0.18684169425531047
2018-07-01,0.11497351377462892,0.18103380169001937
2018-08-01,0.09721966326653171,0.18067716924844046
2018-09-01,0.11707657293100387,0.19221805866750763
2018-10-01,0.09245074934614769,0.17478504097903658
2018-11-01,0.07990741452138991,0.16054397746423787
2018-12-01,0.10687411602390925,0.16875400874287957
2019-01-01,0.13450411408711224,0.18742420180287359
2019-02-01,0.1488070430350377,0.20107866883928152
2019-03-01,0.1368814852562013,0.1950375372603692
2019-04-01,0.16489502748403434,0.21008683719405552
2019-05-01,0.15771319292288388,0.2092901946895269
2019-06-01,0.18414395728086114,0.22180555905269023
2019-07-01,0.1943921651855639,0.23013566499586474
2019-08-01,0.19982017121128878,0.2316241702009661
2019-09-01,0.2197567331303292,0.241325874137153
2019-10-01,0.20536382270829034,0.23738433097208955
2019-11-01,0.20796038203096817,0.23837137202219016
2019-12-01,0.20006666541533288,0.23545519732853246
2020-01-01,0.18296981695560896,0.22954859241456693
2020-02-01,0.21352556166161632,0.24634373476971597
2020-03-01,0.2297578778019212,0.256101001963253
2020-04-01,0.23908679862645596,0.24255508535450032
2020-05-01,0.2548118491050695,0.2542754062404553
2020-06-01,0.25840138503383336,0.25701695769550903
2020-07-01,0.2533256014691154,0.2646265899046048
2020-08-01,0.2614634743473948,0.2713290934161889
2020-09-01,0.24756420728370462,0.2635157255879111
2020-10-01,0.24940172205893038,0.25837782422193434
2020-11-01,0.2296016606179602,0.2523139825585779
2020-12-01,0.22471378521175145,0.26045060622800914
2021-01-01,0.21520104818385058,0.25749737960802893
2021-02-01,0.19741950049931375,0.2508111028254501
2021-03-01,0.18399604907848663,0.2357953097166221
2021-04-01,0.16792357332909028,0.22902433270456543
2021-05-01,0.16980478049669942,0.2323478423732484
2021-06-01,0.17458964142199976,0.23119348590867655
2021-07-01,0.18602157265870653,0.2377369406984145
2021-08-01,0.20297117793408603,0.24847884526246297
2021-09-01,0.19668642382841356,0.2426032155550744
2021-10-01,0.1779736452840039,0.23078388423282972
2021-11-01,0.17100600514479813,0.22923583899942404
2021-12-01,0.18051139172421335,0.22678919725916966
2022-01-01,0.1728665874122389,0.21942842789510064
2022-02-01,0.1575087397226732,0.20983045993243452
2022-03-01,0.1456757163295587,0.20124726305886473
2022-04-01,0.13426360770613302,0.19181045999360688
2022-05-01,0.12044025146523553,0.1904791507212078
2022-06-01,0.12407008820773219,0.19587418319943245
2022-07-01,0.11005390556259578,0.1887076785431923
2022-08-01,0.13250232009757448,0.19949114932344084
2022-09-01,0.11154710211285154,0.19279749009474154
2022-10-01,0.1055962707390829,0.18831010228723974
2022-11-01,0.09434479914690551,0.1801132349001119
2022-12-01,0.11162062084464457,0.19311876480161969
2023-01-01,0.09993457557478501,0.19027750539894817
2023-02-01,0.11936052401153319,0.19544443902001457
2023-03-01,0.10340088177249439,0.19035497751324196
2023-04-01,0.11655711543660603,0.19230077391054018
2023-05-01,0.1262596528973373,0.19555758049897526
2023-06-01,0.11896359966993242,0.19054099843775907
2023-07-01,0.10693825135741163,0.18959233384132074
2023-08-01,0.09877367895156945,0.18520466628145313
2023-09-01,0.08912623069633137,0.17783609423000962
2023-10-01,0.07586381119224637,0.17536182703449313
2023-11-01,0.07075415902403233,0.16814556679285234
2023-12-01,0.09496882322437529,0.18176808474320022
2024-01-01,0.10747874949151932,0.18939571011195103
2024-02-01,0.10643304322268415,0.18725436041245994
2024-03-01,0.09583491603224076,0.18379331521415926
2024-04-01,0.10220077986802194,0.18915204729375193
2024-05-01,0.08752152311141713,0.18029491516162893
2024-06-01,0.09548569045080653,0.18696575052787787
2024-07-01,0.1005369708329436,0.18881523149661594
2024-08-01,0.115367043507511,0.19366576470641114
2024-09-01,0.12068794649257021,0.19578793262314712
2024-10-01,0.13287131798173824,0.20399911170762905
