Date,USE,USSC,UST,USB,LTB,BB,USR,GC,BC,TSE
2011-12-01,0.408061537641502,0.02713903776503379,-0.9930621196977518,1.8128650909524424,3.1249519798748793,0.468231047975598,3.7010512622520197,-10.662433944055593,-2.894356168515766,0.40600527773746453
2012-01-01,5.301057083398564,7.668423762631549,8.833321623179668,1.23959158128355,0.2379807215424634,1.6028461250969572,7.558269697662823,11.395480912860867,3.688525286205113,5.667573114186908
2012-02-01,4.340546107421139,2.568944221929814,6.41002923153724,-1.2772343086182247,-2.829980228111195,-0.2022044203680462,-1.1506945735474394,-2.9649780549572347,5.353938134226022,4.218491988386397
2012-03-01,2.765981517987437,2.1714801427817676,4.875032087312303,-1.5738707611912761,-4.224637874668402,-0.4975044760432201,4.361352500135052,-1.3208340481005276,-1.7735387556898075,2.6274437710684273
2012-04-01,-0.2322334635136425,-1.316552351525213,-1.0017414317300966,2.4992109199746926,4.801600946367768,1.0031746097626915,3.6860757642575015,-0.14803247076433657,-1.3541582207889813,-0.2103149983071706
2012-05-01,-6.005548384109504,-6.579100747798073,-7.040128538098656,2.8823109788881807,9.044139735863045,1.0379763480594217,-4.505832517399533,-6.338034010471139,-11.15804962734348,-6.225636144402635
2012-06-01,3.521705729931446,4.532909010073705,3.3837945876388886,-0.41280866074029365,-1.643638573526096,0.07273676560712872,4.654484100821477,2.354575543588089,2.0206028561737144,3.5199673987189817
2012-07-01,1.7072364479998603,-1.0317124214601403,1.2296631971922434,1.4105667419804568,3.808241033933779,1.23017147583111,2.8428529559774596,0.8376847936764742,5.825244046510747,1.3869268679546076
2012-08-01,2.5052757746794496,3.5353938928099016,5.185217055559432,-0.11725447753440088,-1.314593936764541,0.16323570785814479,-0.014971472167413236,4.939609851235338,5.651383041630886,2.7023077671056717
2012-09-01,1.9906126477543085,2.859984056319198,0.6014833031452227,-0.3385772113731478,-2.5351870361300377,0.1845950123210427,-2.63750876186033,4.6705627280061,-0.38208114974688234,1.9941538431597294
2012-10-01,-1.2957033143209062,-1.7879023684409079,-5.0091673454126795,-0.3875265426070418,-0.480373006607826,-0.08948004927465947,-0.1200469960623729,-2.9437416816341377,-3.9051676855082484,-1.3271981076034667
2012-11-01,0.5659818268229477,0.551297804885098,1.308703251645671,0.9746765776399435,1.3713387062406213,0.2637189013916963,-0.2640833339005999,-0.46754107219081353,1.9593700352656729,0.7743917998902727
2012-12-01,0.1828591764254206,2.729041414746658,-1.0182277312589916,-1.070983320405483,-2.8928340133221875,-1.0712776659677292,2.476270841510453,-2.426979045607558,-1.1387974196608197,0.5488077475018782
2013-01-01,5.864605794239841,7.158354674298373,3.243428816090388,-1.0297330882205302,-2.781394534764514,-0.49454905397252613,5.000454498934381,-0.5061148639644464,2.4837973088932763,6.197637110877041
2013-02-01,1.2758749926111923,1.0047098669566434,0.34395431137701493,0.9990251837389996,1.0143925643870233,0.33546276561722266,1.2159318239808314,-5.0868468383873715,-4.706710304057127,1.2815552323913515
2013-03-01,3.3374944855161237,4.365579598962177,2.786882808489599,0.30033438344978514,-0.412202575826226,0.0916629837413252,2.0842077296412853,0.9477104236877087,0.6634827640352059,3.476402398094347
2013-04-01,2.374566247120602,-0.06930262941828857,2.7746368649887554,1.508383320005957,4.682594535849405,0.8334399588235231,7.558564922695954,-7.56231330952718,-3.808132810354925,2.069251012675788
2013-05-01,2.360989748576481,3.9320092819305597,3.57745754817409,-3.0942607250547316,-6.75685547516891,-1.7550862218291385,-5.977710119002733,-6.198785346133606,-1.5607093522517546,2.443490369074164
2013-06-01,-1.8538109171349793,-0.8179899941369362,-2.7030304314470843,-2.556681235337599,-3.2985534215015155,-1.6553810541383163,-2.910384504169228,-11.058839427335087,-2.8229020409196726,-1.8986572456799466
2013-07-01,5.724187327437424,6.865981138324617,6.650362008157296,-0.3535040184028171,-2.246081163734759,0.37409119915416955,1.867184052483939,7.4301053049881105,3.18345466990948,6.243683363294772
2013-08-01,-2.9992394230401564,-2.7399643470506496,-0.3959708871896339,-1.4251158581855217,-1.3627254279927392,-0.856769901044907,-6.980078284321922,5.2047484216675155,2.8152654637437102,-3.0313632374570743
2013-09-01,2.6642327325327564,6.206422519083388,4.518349454365778,1.8338684580443632,0.6391639449724096,1.1053362646108678,2.5426313680327217,-4.783837969835158,-3.3758432846701436,3.3974279630221815
2013-10-01,5.140668733730025,2.6926749778422243,5.272079184109968,0.7783172689600715,1.4323825222058773,0.8580620391360094,5.4780322507058665,-0.3432632525768975,-0.038817365341703436,4.770864946245634
2013-11-01,2.963763510694295,3.956364378973909,3.5511433972707396,-0.8831509174053176,-2.7093860783625523,-0.3039913267560368,-5.2509865163567255,-5.511195422936577,-0.9320348632584796,2.702708446681168
2013-12-01,2.038707277953211,1.6298378941454805,2.6011795273480853,-2.2561315761366774,-2.2179630716801846,-0.9280502184240924,-1.4351155920492298,-3.794527189279151,0.5879991289744035,2.1947557903439385
2014-01-01,-3.0010857235342248,-2.3995576569911803,-1.609749402647509,3.3998091827331933,6.967619847399464,2.0746129142360736,5.9011363254745985,3.4188714238774454,-3.039747771314316,-2.6588410309181354
2014-02-01,4.55158466417076,4.77888662105399,4.717746853141835,0.18574931617436619,0.2678382576009275,0.2583473181219098,5.065356013298827,6.27030280482701,5.024107116460752,4.866476667405961
2014-03-01,0.38646914195668014,-1.0040773723470675,-2.5526960182352787,-0.5519825130369194,0.7449543805849057,-0.17042333902779205,-0.15551689293670234,-3.1421423365686874,-0.03825978481111214,0.0718752089944763
