Date,USE_SMSV_EMA5,USSC_SMSV_EMA5,UST_SMSV_EMA5,LTB_SMSV_EMA5,USR_SMSV_EMA5,GC_SMSV_EMA5,BC_SMSV_EMA5,TSE_SMSV_EMA5
2015-12-01,1.7441089313635028,2.0679291602356256,2.6240562368260303,-0.2876264152573543,1.3622227604563037,-3.0296828787924484,-4.072139874820452,1.6549149431226247
2016-01-01,-0.27845895163808004,-1.6790544910532972,0.36027908734411856,-0.39322559268960494,0.9038279165174073,-1.7380525774810225,-4.950467729457909,-0.5120748814269616
2016-02-01,-2.3395868600912793,-4.9331104130559735,-3.1392979010472977,2.8055408273359914,-0.6065275441906817,1.8428362270441583,-4.642451071582168,-2.846040782861097
2016-03-01,-1.2185567126166919,-2.578540607105524,-2.349236974011479,2.8501426284672546,-0.47688164074392336,6.375863703097908,-2.441874389505948,-1.4340154682125508
2016-04-01,2.4857758425221927,2.5655560380985367,2.0949594156470077,1.3763056925130095,4.381852351956264,2.7751622987011,0.8944066721128704,2.5911407500945214
2016-05-01,1.6856326821930463,2.2601599624473834,-0.4047397335006448,0.3137622693829878,1.560397861554349,3.934612283845247,5.311828579767054,1.8574336792220563
2016-06-01,1.6989977224739132,2.2523962424418436,1.9857018694426716,0.5654876616436287,1.919528260261991,-1.0978219492686188,3.0970952986281475,1.7970495809900928
2016-07-01,0.7653984299348657,1.111817392193637,-0.2785051488004582,3.7380225817702217,3.9493002986368526,3.931769517466513,3.72530114092814,0.8147844912477628
2016-08-01,2.471416159781122,3.2174236052423146,3.575558108847312,2.937024415431793,4.566622566088598,2.949789094414439,-1.6133094525321479,2.625662486140721
2016-09-01,1.2942026480278686,2.766025073913745,2.316844836149263,0.9638035219951103,0.4013459143631115,-0.14394859129815296,-0.43082668540806573,1.4163159175461584
2016-10-01,0.3958424196310052,1.7836543221978616,2.1355890717552133,-0.26780727341313765,-1.058491649037259,0.27090878521760275,1.9379848858000037,0.5666581918865908
2016-11-01,-0.41685524877776453,-1.2723062746792648,0.46041333454546934,-2.325781311768935,-3.0655778197925994,-1.3299939327338177,0.7928319372106589,-0.5761848483029635
2016-12-01,1.6336750876740536,4.889376053805864,0.44868848338789846,-5.274306670232313,-2.3787113042426817,-4.846549089546714,1.2387833804834822,1.952901346443574
2017-01-01,1.5256675124896268,3.680083620950946,0.6353273026720644,-2.9977364662042194,0.14032958570893642,-3.368642471145885,2.6919897300846327,1.653988070485078
2017-02-01,1.9611851818178845,2.191275115266521,3.0516425265232123,-0.8569090585785389,1.0264868392680033,1.0203108249550785,1.0576892284871662,2.068355443671954
2017-03-01,2.94829698923869,2.063434509369625,3.7141325961271883,0.24790059641258191,2.2650770314577313,2.1093211120870214,0.4396520265335253,2.8827709359625113
2017-04-01,1.3222747971093458,0.899121842144561,2.765137209473223,-0.1942042971293895,-0.4387854681124643,0.8311852219041372,-1.4051410674976872,1.2427236151917975
2017-05-01,1.375632802656798,1.1657638604793064,2.844972385812732,0.6769965303999385,0.2700404155324981,1.2861590237522045,-2.046544116900606,1.387682773853545
2017-06-01,1.3977335419929573,-0.40037480953367155,3.369707313663075,1.2790803257794383,-0.22601959314233913,0.5738535911032437,-1.7417346493008252,1.196594580483076
2017-07-01,0.7709380604137677,1.4795756472028772,0.3965416868849961,1.0290117406377188,0.5148515876544146,-0.7872769879114203,-1.3486667853428354,0.8460662060499757
2017-08-01,1.663107608938255,0.95369282128583,2.3680143951761727,0.19131076682828446,1.3583101028890592,0.7532991192412117,1.364040728910437,1.5915688543118212
2017-09-01,0.977899977537237,0.0642537174225258,2.224064943360897,1.7957273524489015,0.5503730742606167,2.4769774135625133,0.8839328938965905,0.8715120977451721
2017-10-01,1.2464653521379268,3.050761553510972,0.8534390465915186,-0.25740805068377587,-0.29058203080740713,-0.447324280691169,1.435524516189742,1.4360458578424757
2017-11-01,2.05330465029105,2.0128487809792577,2.847068109640637,-0.1498604018674472,-0.1672984662248716,-0.5955588755434709,2.694672770386721,2.023751486534709
2017-12-01,2.5545287732752775,2.479020206414171,2.4067379991914897,0.29963792492250585,1.2474843927413206,-0.12080261122388664,1.8167547501626282,2.5275164801953403
2018-01-01,1.6304496485154683,0.8489569622628976,1.3974939956732717,0.9500891090364301,-0.21504280133838946,0.9929800920326389,2.294788686991248,1.600220738209133
2018-02-01,3.8995222990265823,1.8946281214884138,5.191240971179208,-0.9596589940281365,-1.4879609115228603,2.1128160946363366,2.626485525284648,3.6707676929667867
2018-03-01,0.12917674310684626,-0.9760581926214663,1.9552685475461626,-2.098198504754181,-4.584912171292949,0.016969780937831313,-0.1439331940127939,-0.04343252257147889
2018-04-01,-1.501621292237471,0.005443342515755715,-1.13717245106089,0.3845959756792523,-0.8450264420661064,0.32866043319190014,1.064061683591622,-1.1992758747767243
2018-05-01,-0.29727998468573996,0.6099011930274667,-0.23567116745947586,-0.8547577736160877,0.4794736623816491,-0.3183432417443971,2.245173261100146,-0.16770561261772404
2018-06-01,1.0725457067555613,3.3900724527469985,2.723847006345544,0.5718770633311454,2.0849061690759236,-0.7574609655148479,2.4620980414182094,1.2747149259855326
2018-07-01,0.5940504616056669,2.013150080598026,1.8234949693368556,0.5989675170823826,2.6618032593792402,-2.1800247202129444,0.26009627100615296,0.7740172427046774
2018-08-01,2.3873120902728777,1.6506502890981025,2.417285606134813,-0.41287113994233027,2.0945006175277623,-2.2144495061602436,-1.0824927256360695,2.263927788244775
